,tweet,target
116,"@imshin So when I hear about the open air concentration camps, the comparisons to nazi death camps, the desolation, the lack of goods and services, I will pull this very video out of my wallet",-7.0
117,how did Peter Jackson tell @TheRealLukevans and Orlando Bloom apart in The Desolation of Smaug? they are like separated at birth. I thought OB was playing a dual part.  my head is spinning right now.,5.0
118,"@TheGoldenLion_1 The parts are just as magnificent as the whole, which they embody in every aspect of themselves. Such is the same with that of the human form. Modern architecture seeks to destroy this. It's tortured and directionless forms speak to confusion and desolation.",-7.0
119,Bob Dylanâs 115th Dream or Desolation Row,2.0
120,Itâs in the moments of desperation that you realize you canât keep going down the same path if you want to be successful. Sometimes you gotta be nearly puking to realize that something has to change.,-2.0
121,"@CleanGuayabera Itâs a great taco, but a brand that reeks of desperation, like a hot girl on the bus.",2.0
122,"@robmclean1976 @aardvark2021 @PlasFron @wesstreeting Ah and here come the insults. I'm simply going on what the PM has said and what the rules were at the time. You are immune to facts and have a bizarre desperation to defend an incompetent, lazy, dishonest fool who doesn't care about you one bit. Have fun with that.",-9.0
123,Population desperation tax due to the shite economic situation at the time due to the Wall Street crash etc,-7.0
124,@CaptainMorie @CryptoMories Thatâs what desperation looks like. ð,-1.0
125,"The desperation of ""Please cancel all your progressives so we don't have opposition,"" only to go after someone we're ready to set aside. Ever on the pulse of popular culture, that GOP. ð",4.0
126,"@golikehellmachi @MoralHazardPay All of that said I still feel bad for the manager also!  He's in a desperate, terrible position that is absolutely at least in part of his own making, but the desperation and terror are disproportionate to the size of his mistakes",-10.0
127,@_jamiedornannet The desperation  https://t.co/z0JklQ5o8h,-5.0
128,@CanteringClark All the hate pouring out for Plan B. Signs of a bear market and desperation incomingâ¦.I donât recall this outpouring of hate during good timesâ¦bitches out in force..,-8.0
129,"@mtgreenee More bullshit conspiracy theories from one of the organizers of the #TrumpInsurrection. Margie, you're desperation is palpable. They're coming for you.",-9.0
130,@bispacewizard @ErikaLegernes Did you ever read Desperation by Stephen King?,-5.0
131,"@MigunaMiguna @RailaOdinga You hang on anything to massage your desperation, sad!",-8.0
132,Desperation or smart revenue diversification? You decide  https://t.co/rT83nBXRyQ,-1.0
133,@siredtotequila No wonder he chose her over everyone he was close to here. Desperation makes you do crazy things.,-8.0
134,Or rather the year i act on the desperation I've been experiencing for years lmao,2.0
135,@CraveVoidStuffs You people reek of desperation.,-8.0
136,Reeks of desperation. Do Caprio will save us!!,2.0
137,@undertow99 He wasn't a top drawer though was he? Desperation. Look at PSG this season. Or Juve or loads of others. It's crazy how we don't get in on yhe act especially with the wages on offer.,-7.0
138,@MeteorSurvivors Wanderlust in 1.0  Despondency in 2.0 after learning the Calamity killed her family &amp; destroyed her home  By 4.x Tei had found the family sheâd been searching for,-8.0
139,@OmarGoshTV I think itâs more YT getting too big for ts britches and blocking a lot of good creators.  Itâs sowing general despondency with the platform.,1.0
140,"You pick ownership, you pick isolation; resulting in despondency. Im bleeding for this. Time is gettin thin to save relationships. I just hope itâs not too late.",5.0
141,"music to calm my nerves music to console me in my time of grief, of despondency and of anger.",-7.0
142,"âWe have to be tuned to God. We will never be free from discouragement and despondency until we know and walk with the very fountainhead of joy."" #BillyGraham",1.0
143,"@darlingitsDrCi @crissles yes, you can feel depressed (a state of general unhappiness and/or despondency) without having Depression (a clinical diagnosis); however, dispirited, down, gloomy, melancholy, misery, morose, sorrowful, teary, etc are better recieved.",-9.0
144,Rapule Tabane | My wishes for 2022 are based on terrible experiences and bad decisions I witnessed this year. I believe there are one or two things that can shift our trajectory from one of despondency to one of hope  https://t.co/WdUX696RVV.,-5.0
145,"Elliot's appearing and tearing her away, and one or two subsequent moments, marked by returning hope or increasing despondency, were dwelt on with energy.",6.0
146,"@Sankadik1 @Pratham86718126 @N09434002 @MayukhM58253378 Probably this may be the one bro!!! Well,It is quite unique to see Netaji in this way and At the same time so unfortunate and also a bit of despondency and melancholy hit me thinking we couldn't even see how he was after 1945 of August. However TOP NOTCH MATE!!!",-8.0
147,"Have had a headache for quite few days, accompanied by fatigue and despondency. Tested Covid negative. Had to do a lot of soul searching to understand that I am just exhausted after 5 months remodelling and moving at the same time.   #BachFlowers   #Olive #Walnut #Gorse #Hornbeam",-8.0
148,"""The pressing issue right now is not discord between the generations but a growing despondency across the entire age range,"" writes @PoliticalYeti.   https://t.co/uuZgZ1a1L3",4.0
149,"Name an honest politician. Please, just one. Anywhere in the world! Relieve my despondency please.",9.0
150,@RacismDidntDie @abgutman Depression and despondency is a real thing. Donât belittle those who FEEL differently. Suicides are at an all time high and it is incumbent on all of us to support each other,-6.0
151,@OdaazMan @NAkufoAddo This woman should be arrested immediately. They are the cause of despondency and disrespect in the country,-7.0
152,"@lilomatic @US2SOMALIA @StateDept Linda you spread lies &amp; cause despondency. You said Chamisa was training militants in Serbia but failed to prove it. Tells us what happened to those militants. Urimarujata, mhesvamukono, mhakure. Fortunately, nobody takes you seriously.",-8.0
153,i sigh a sigh of deep despondency whenever i have to use nvm,1.0
154,"By using your ability to empathise with Howard Jones's Dancer Jed, you can lessen feelings of despondency.",3.0
155,"@LynneStactia @mukonono82 Lynn, there is hunger, poverty and muted despondency in the barracks just mirroring society at large. Vanhu vari kutambura and those with guns then terrorize ordinary citizens. The motive has to be established, spontaneous incidences or planned? We gotta find out",-9.0
156,@HibaBeg It's strategically planted / released that any retaliation will be of no consequence and going to police station is waste of time.  Creating a sense of despondency is more than a battle won?  They aren't naive.,-0.0
157,"If there is one secret to authoritarian regimes remaining in power, it is creating apathy and despondency in those who would oppose it!  This page from The Art of Conjuring Alternate Realities is probably a lesson we all need to internalise a lot more!  https://t.co/05VRpUIvT8",0.0
158,"Less than 30 tweets. That's all I had to read before I knew all the negative opinions shared here for the past few days. Negative breeds despair, hatred, hopelessness, despondency, anger, depression, ailments, &amp; thrives on all of it. Yes, some will say; but we need to express 1/2",-9.0
159,Despondency is an open collar and a stretched shirt. S5E11  https://t.co/JRVwLOF9nx,0.0
160,"DEPRESSION: a mental condition characterized by feelings of severe despondency and dejection, typically also with feelings of inadequacy and guilt, often accompanied by lack of energy and disturbance of appetite and sleep. You never know what someone is going through.",-9.0
161,I believe in the power of the mind to hold off the despondency of the heart.,6.0
162,"Covid in Scotland: brace for âterrifyingâ Omicron wave, says health chief. Itâs been nice for these last three months, not having to listen to the gloom and despondency of this clown. This time we are to be terrified. Ok, Iâm shitting myself. Now piss off   https://t.co/hOckYsouTR",-9.0
163,in for 2022: -new sincerity -pointy hats -despondency  -disabling smoke detectors -personalized deadbolts   out for 2022: -airplanes -getting high (non-psychedelics) -emotional movies -chain seafood restaurants -half-finished crosswords (all or nothing),-4.0
164,"âBlessed the one who farms fair and good thoughts each day and by hope conquers the wicked passion of despondency, by which the Lordâs ascetics are warred upon.â  â St. Ephrem of Syria",5.0
165,It is difficult to explain the ravages of climate breakdown to a child. The despondency we feel at the disappearance of entire ecosystems is a heavy burden to inherit. Okri handles this responsibility wellâ¦  https://t.co/CPcZ6mjnUw  @milesellingham,-7.0
166,There is a feeling in the gut of every healthcare worker right now that only we can understand.   I exhaust myself fighting off despair and clinging to hope. Shoving the worry and the despondency back down my throat before I can speak it into being.   Resisting these feelings is,-7.0
167,The thing about Sudan is that it takes one on an emotional rollercoaster - from despondency to elation to stark realism to that faint glimmer of hope.  Tonight itâs hope.,8.0
168,"@phorkedel_ @JC_Chatter @givenchyariii @PopCrave Having more important priorities doesn't invalidate your despondency if a less important priority fails you.  Say, you're desperate to spend Christmas with your family, but you've a lot of work to do. You work harder so you could go home earlier, but your flight was cancelled.",-5.0
169,"@JohnsonGabbie My husband arrested at home in February of 2018.  I have been CPR certified since 1990~. I didnât even look up when the firefighters entered my living room to help.   I know the despondency you feel, as I was unable to bring him back.  My heart goes out to you and your family.",6.0
170,The seasonal worker lays fallow growing despondency,2.0
171,Crime is a retaliation against the despondency of poverty.,-8.0
172,"Routine police violence does not prevent crime, it entrenches the conditions of despondency which breeds crime in the first place.",-7.0
173,gifted enough to have consciousness and be alive in such a minuscule time frame and waste it by CHOOSING to be a idiot  have your own spirit  heart breaking and brings nothing but clouds of despondency,2.0
174,@Atithigva Turn thoughts to some directions like that ... and less despondency.,4.0
175,@maDube_ Another one jumping on the bandwagon of liars. ZEC have registered more than that number and they're busy reporting low numbers to cause despondency &amp; here you are spreading their lies to demotivate us.  I know you have always been against the voter registration but that's a lie!,-6.0
176,"Writers, what motivates you to write each day or often? What motivates you to get out of procrastination or discouragement and finish what you started?   #WritingCommnunity #amwriting #WriterWednesday #WritingMotivation #writers #writerslife",-5.0
177,"@CNNPolitics Why does CNN always turn something meant for good into a chattering circle of discouragement, disparity, condemnation and hatred? At CNN sick minds think alike!  https://t.co/xYbmW7gLdR",-9.0
178,"The Great Encourager, the Holy Spirit, can strengthen the weakest saint, the most feeble among us and make them into a champion. The giant to slay is the giant of discouragement.",7.0
179,The measure of greatness is not found in your accomplishments. Its in how much discouragement it takes to stop you.,-6.0
180,If you listen to discouragement it would cause you to make bad decisions,-8.0
181,We need to ensure the bill doesn't pass. Proposed legislation isn't law -- yet. The narrative that it inevitably will pass is inadvertent (in your case) discouragement of the many advocates here in OK against this. We have to fight together to be sure it is never even heard.,3.0
182,@merphie77 @jimdtweet @amcelha3 @try2golf @Kenneth72712993 @TWTThisIsNow @GlennCarr6 @HughCaperton @BluePittie @Narvuntien @JohnDublin10 @keithamccluskey @IanDJbrown2 @BubbasRanch @4Clearsky @PLHartungRN @RobMeekel @Canadianworker2 @rln_nelson @BigRakaDoc @organicdot @IngersolRobert @OscarsWild1 @BolzmannMichael @CrispyCX @chimera414 @91996340e81d45a @ponycar06 @DawnTJ90 @l0sts0ulforever @Moderna5G_666 @sandcastle1975 @HalBrow68884227 @AristotleMrs @k_b_lvi @Stephen04880258 @GuyGadboisGuyG1 @thisisnothappen @basil_ireton @The_Ouroboros__ @DavidTaylorYork @Gordon_DHG @EricWil06256732 @wildweatherdan @robhon_ @ejwwest @Tragiicomedy @covid_parent @dan613 @Boeing74 True. ð¤£ Conflation is one of their favorite Tricks in the house of cards:       Arrogance     Complication       Conflation        Confusion           Debt           Delay        Deception        Distraction        Depression    Disappointment    Discouragement,-10.0
